refGene	Sample_279_CF	Sample_571_CF	Sample_665_CF	Sample_812_CF	Sample_223_CM	Sample_487_CM	Sample_511_CM	Sample_620_CM	Sample_324_DF	Sample_338_DF	Sample_566_DF	Sample_252_DM	Sample_323_DM	Sample_763_DM
SGIP1	3083	3566	2732	5355	3696	5159	3628	4513	2123	4529	3197	3418	3208	3809
NECAP2	4073	3958	7723	3995	7539	5079	4239	8993	5310	5850	5382	4455	7367	5921
AZIN2	127	315	168	235	136	361	179	285	142	208	329	272	181	306
AGBL4	0	0	0	0	0	8	0	6	0	0	2	0	0	0
CLIC4	29188	31234	50974	39832	79615	41225	27875	74828	45086	35444	36742	27956	55562	49021
SLC45A1	59	298	59	279	74	164	66	107	118	48	133	61	61	139
TGFBR3	602	623	596	326	446	326	424	392	774	490	424	676	1213	911
DBT	1200	1467	1997	2155	2171	1847	1294	2614	1665	1735	1358	1624	1718	2436
PRUNE1	935	765	1547	1221	1344	1140	957	2286	1154	1412	1028	1361	1417	1091
C1orf21	1139	840	845	1207	2537	1587	239	684	1448	725	994	676	1088	1067
RFWD2	1858	1821	2234	2094	2864	2182	1807	3267	2013	2093	1925	1867	2356	2302
LIN9	825	212	436	464	1395	445	157	1025	714	418	297	423	842	385
PRKCZ	280	487	935	478	516	487	696	808	431	748	557	682	479	592
PRDM16	4	0	0	9	24	8	4	10	6	4	16	13	59	8
ICMT	10816	5380	12527	7435	18327	6294	4448	13523	11627	6729	6696	7119	12303	7448
CAMTA1	676	606	1594	1083	1415	1122	1381	2429	1007	1158	768	1118	1069	1449
C1orf159	466	450	458	383	201	323	683	259	364	271	493	262	198	256
PRAMEF18	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRAMEF10	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRAMEF33P	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PINK1-AS	553	535	843	419	911	757	368	937	735	709	645	522	515	705
EPHB2	17337	10076	25013	13563	14598	12756	8745	26576	17288	9934	12627	8989	18383	22110
LOC105378614	0	1	0	0	0	0	1	3	0	0	2	0	0	1
PINK1	601	832	1435	682	730	527	1276	1472	1020	1194	1226	817	1835	1324
USP48	4697	4938	5634	6098	5761	5991	4075	6486	4908	5462	4985	5037	5217	6129
STMN1	24145	8886	22475	10293	22519	15858	8434	51268	10596	14329	11014	12385	28140	12564
NUDC	5308	2869	6856	3769	5996	3927	3647	5067	5831	4250	4429	3918	5181	3988
EPB41	2605	2373	3613	2669	3405	3334	3076	4747	2797	4965	4037	4067	3367	4140
PUM1	8456	9088	11745	10307	13847	11082	6976	17644	10877	10043	8961	8595	11803	10848
KHDRBS1	12670	7094	10064	8072	13175	11484	5177	18374	12162	8474	7835	7355	15047	8970
EYA3	2785	2249	3890	2595	4594	2977	1963	5364	3365	2872	2490	2587	3380	2808
SFPQ	26551	18972	20287	18610	27342	24433	10851	28723	22784	15685	16427	16093	24952	16173
THRAP3	17889	12349	21241	13575	22593	17801	9254	28396	17578	17673	14635	14461	23784	17145
